call_id,location,signal_strength_dbm,call_duration_min,dropped_call,network_type,data_usage_mb
TC00001,Zone_B,-75.5,35,No,4G,241.9
TC00002,Zone_C,-87.0,6,No,4G,192.7
TC00003,Zone_C,-91.0,21,No,4G,222.8
TC00004,Zone_E,-90.1,3,No,4G,275.3
TC00005,Zone_E,-84.3,7,No,4G,445.0
TC00006,Zone_C,-87.4,3,No,4G,351.3
TC00007,Zone_C,-108.4,13,No,5G,133.0
TC00008,Zone_C,-67.1,13,No,4G,407.6
TC00009,Zone_D,-84.1,5,Yes,5G,261.1
TC00010,Zone_C,-64.8,13,No,5G,690.3
TC00011,Zone_C,-70.1,6,No,5G,184.2
TC00012,Zone_C,-84.0,1,No,4G,430.2
TC00013,Zone_C,-77.3,28,No,4G,388.8
TC00014,Zone_D,-90.8,14,No,5G,268.8
TC00015,Zone_B,-73.5,32,No,5G,397.9
TC00016,Zone_C,-91.4,23,No,4G,242.8
TC00017,Zone_A,-68.1,23,Yes,5G,110.9
TC00018,Zone_E,-68.9,15,No,5G,265.1
TC00019,Zone_C,-67.7,16,No,5G,410.2
TC00020,Zone_C,-76.9,15,No,4G,661.8
TC00021,Zone_E,-86.1,31,No,4G,391.4
TC00022,Zone_A,-72.8,12,No,4G,196.9
TC00023,Zone_D,-78.8,14,No,5G,285.0
TC00024,Zone_C,-70.1,31,No,5G,405.4
TC00025,Zone_E,-92.2,33,No,4G,1260.4
TC00026,Zone_D,-86.3,31,No,4G,657.4
TC00027,Zone_B,-88.2,13,No,5G,179.6
TC00028,Zone_D,-94.5,17,No,4G,197.6
TC00029,Zone_E,-73.2,23,No,5G,489.0
TC00030,Zone_D,-76.4,21,Yes,5G,866.7
TC00031,Zone_B,-93.7,28,No,4G,686.7
TC00032,Zone_A,-55.5,8,No,5G,1254.7
TC00033,Zone_E,-94.1,14,No,4G,744.2
TC00034,Zone_C,-89.2,9,No,4G,278.8
TC00035,Zone_E,-90.2,32,No,5G,439.1
TC00036,Zone_C,-90.5,28,No,5G,321.8
TC00037,Zone_A,-70.8,22,No,4G,313.1
TC00038,Zone_E,-71.7,30,No,5G,417.4
TC00039,Zone_C,-95.7,3,No,4G,269.2
