call_id,location,signal_strength_dbm,call_duration_min,dropped_call,network_type,data_usage_mb,signal_quality,call_reliability
TC00001,Zone_B,-75.5,35,0,4G,241.9,Average,1
TC00002,Zone_C,-87.0,6,0,4G,192.7,Poor,1
TC00003,Zone_C,-91.0,21,0,4G,222.8,Poor,1
TC00004,Zone_E,-90.1,3,0,4G,275.3,Poor,1
TC00005,Zone_E,-84.3,7,0,4G,445.0,Poor,1
TC00006,Zone_C,-87.4,3,0,4G,351.3,Poor,1
TC00007,Zone_C,-108.4,13,0,5G,133.0,,1
TC00008,Zone_C,-67.1,13,0,4G,407.6,Average,1
TC00009,Zone_D,-84.1,5,0,5G,261.1,Poor,1
TC00010,Zone_C,-64.8,13,0,5G,690.3,Average,1
TC00011,Zone_C,-70.1,6,0,5G,184.2,Average,1
TC00012,Zone_C,-84.0,1,0,4G,430.2,Poor,1
TC00013,Zone_C,-77.3,28,0,4G,388.8,Average,1
TC00014,Zone_D,-90.8,14,0,5G,268.8,Poor,1
TC00015,Zone_B,-73.5,32,0,5G,397.9,Average,1
TC00016,Zone_C,-91.4,23,0,4G,242.8,Poor,1
TC00017,Zone_A,-68.1,23,0,5G,110.9,Average,1
TC00018,Zone_E,-68.9,15,0,5G,265.1,Average,1
TC00019,Zone_C,-67.7,16,0,5G,410.2,Average,1
TC00020,Zone_C,-76.9,15,0,4G,661.8,Average,1
TC00021,Zone_E,-86.1,31,0,4G,391.4,Poor,1
TC00022,Zone_A,-72.8,12,0,4G,196.9,Average,1
TC00023,Zone_D,-78.8,14,0,5G,285.0,Average,1
TC00024,Zone_C,-70.1,31,0,5G,405.4,Average,1
TC00025,Zone_E,-92.2,33,0,4G,1260.4,Poor,1
TC00026,Zone_D,-86.3,31,0,4G,657.4,Poor,1
TC00027,Zone_B,-88.2,13,0,5G,179.6,Poor,1
TC00028,Zone_D,-94.5,17,0,4G,197.6,Poor,1
TC00029,Zone_E,-73.2,23,0,5G,489.0,Average,1
TC00030,Zone_D,-76.4,21,0,5G,866.7,Average,1
TC00031,Zone_B,-93.7,28,0,4G,686.7,Poor,1
TC00032,Zone_A,-55.5,8,0,5G,1254.7,Good,1
TC00033,Zone_E,-94.1,14,0,4G,744.2,Poor,1
TC00034,Zone_C,-89.2,9,0,4G,278.8,Poor,1
TC00035,Zone_E,-90.2,32,0,5G,439.1,Poor,1
TC00036,Zone_C,-90.5,28,0,5G,321.8,Poor,1
TC00037,Zone_A,-70.8,22,0,4G,313.1,Average,1
TC00038,Zone_E,-71.7,30,0,5G,417.4,Average,1
TC00039,Zone_C,-95.7,3,0,4G,269.2,Poor,1
TC00040,Zone_D,-87.4,31,0,4G,142.9,Poor,1
TC00041,Zone_D,-87.6,4,0,4G,335.3,Poor,1
TC00042,Zone_D,-86.4,16,0,5G,478.9,Poor,1
TC00043,Zone_E,-74.6,5,0,5G,201.2,Average,1
TC00044,Zone_E,-96.4,17,0,5G,577.8,Poor,1
TC00045,Zone_C,-89.9,14,0,4G,246.7,Poor,1
TC00046,Zone_A,-86.3,13,0,5G,505.1,Poor,1
TC00047,,-87.1,25,0,4G,384.0,Poor,1
TC00048,Zone_B,-78.8,9,0,4G,79.8,Average,1
TC00049,Zone_B,-85.8,7,0,5G,351.5,Poor,1
TC00050,Zone_A,-81.1,21,0,5G,299.6,Poor,1
TC00051,Zone_C,-88.4,20,0,4G,178.7,Poor,1
TC00052,Zone_C,-110.6,18,0,4G,163.4,,1
TC00053,Zone_C,-81.8,27,0,5G,209.0,Poor,1
TC00054,Zone_D,-80.5,14,0,5G,268.4,Poor,1
TC00055,Zone_D,-81.5,35,0,5G,843.9,Poor,1
TC00056,Zone_B,-97.5,10,0,4G,249.1,Poor,1
TC00057,Zone_B,-86.1,4,0,4G,334.5,Poor,1
TC00058,Zone_A,-84.7,31,0,5G,846.8,Poor,1
TC00059,Zone_E,-88.1,4,0,5G,456.5,Poor,1
TC00060,Zone_E,-92.5,2,0,5G,260.2,Poor,1
TC00061,Zone_D,-89.7,20,0,5G,402.1,Poor,1
TC00062,Zone_B,-82.7,23,0,5G,328.1,Poor,1
TC00063,Zone_B,-86.6,1,0,5G,100.6,Poor,1
TC00064,Zone_D,-82.9,29,0,5G,179.7,Poor,1
TC00065,Zone_E,-89.3,1,0,5G,138.2,Poor,1
TC00066,Zone_A,-85.5,3,0,5G,160.6,Poor,1
TC00067,Zone_B,-72.1,33,0,5G,341.1,Average,1
TC00068,Zone_B,-79.8,5,0,5G,206.9,Average,1
TC00069,Zone_A,-78.9,22,0,5G,312.2,Average,1
TC00070,Zone_E,-83.0,12,0,5G,183.9,Poor,1
TC00071,Zone_E,-95.5,31,0,4G,662.6,Poor,1
TC00072,Zone_E,-95.6,30,0,4G,551.5,Poor,1
TC00073,Zone_C,-91.8,29,0,4G,354.0,Poor,1
TC00074,Zone_B,-83.93613445378152,3,0,4G,128.4,Poor,1
TC00075,Zone_A,-80.9,27,0,4G,370.3,Poor,1
TC00076,Zone_B,-79.8,31,0,5G,418.5,Average,1
TC00077,Zone_B,-83.2,17,0,5G,560.4,Poor,1
TC00078,,-72.7,19,0,5G,268.9,Average,1
TC00079,Zone_B,-102.2,16,0,5G,465.9,,1
TC00080,Zone_E,-90.0,19,0,4G,69.5,Poor,1
TC00081,Zone_D,-62.0,8,0,5G,469.7,Average,1
TC00082,Zone_A,-95.2,6,0,4G,530.4,Poor,1
TC00083,Zone_D,-86.7,8,0,5G,149.6,Poor,1
TC00084,Zone_D,-75.2,2,0,4G,342.3,Average,1
TC00085,Zone_B,-106.1,32,0,4G,221.6,,1
TC00086,Zone_B,-95.2,30,0,5G,718.0,Poor,1
TC00087,Zone_B,-65.3,28,0,5G,421.9,Average,1
TC00088,Zone_D,-74.5,22,0,4G,297.4,Average,1
TC00089,Zone_E,-74.7,9,0,5G,250.5,Average,1
TC00090,Zone_D,-85.3,25,0,4G,169.1,Poor,1
TC00091,Zone_D,-65.7,32,0,4G,517.2,Average,1
TC00092,Zone_B,-86.8,8,0,5G,260.9,Poor,1
TC00093,Zone_A,-107.3,1,0,4G,279.4,,1
TC00094,Zone_D,-92.9,32,0,4G,146.6,Poor,1
TC00095,Zone_A,-78.7,27,0,4G,367.2,Average,1
TC00096,Zone_A,-102.9,23,0,4G,92.4,,1
TC00097,Zone_B,-64.7,31,0,5G,360.4,Average,1
TC00098,Zone_A,-92.0,22,0,4G,284.6,Poor,1
TC00099,Zone_D,-79.6,22,0,5G,389.9,Average,1
TC00100,Zone_D,-70.0,17,0,4G,368.2,Average,1
TC00101,Zone_A,-80.1,28,0,5G,214.3,Poor,1
TC00102,Zone_D,-91.2,22,0,4G,317.5,Poor,1
TC00103,Zone_A,-81.5,11,0,4G,155.6,Poor,1
TC00104,Zone_B,-78.6,29,0,5G,375.9,Average,1
TC00105,Zone_A,-97.7,7,0,5G,349.7,Poor,1
TC00106,Zone_C,-60.3,20,0,4G,81.1,Average,1
TC00107,Zone_A,-91.4,17,0,4G,248.9,Poor,1
TC00108,Zone_D,-74.1,14,0,5G,173.6,Average,1
TC00109,Zone_E,-92.2,12,0,4G,93.8,Poor,1
TC00110,Zone_B,-59.6,23,0,5G,73.4,Good,1
TC00111,Zone_D,-86.4,34,0,5G,280.1,Poor,1
TC00112,Zone_B,-96.5,12,0,4G,497.8,Poor,1
TC00113,Zone_C,-94.2,21,0,5G,376.1,Poor,1
TC00114,Zone_A,-87.5,28,0,4G,368.8,Poor,1
TC00115,Zone_E,-61.9,18,0,4G,102.7,Average,1
TC00116,Zone_B,-71.7,10,0,5G,149.1,Average,1
TC00117,Zone_A,-85.3,32,0,4G,210.1,Poor,1
TC00118,Zone_D,-100.4,16,0,4G,750.1,,1
TC00119,Zone_B,-105.6,32,0,4G,546.7,,1
TC00120,Zone_B,-97.7,20,0,4G,174.8,Poor,1
